GPU_Name,Total_Global_Memory,Shared_Memory_Per_Block,Max_Threads_Per_Block,nBodies,BLOCK_SIZE,Average_Kernel_Execution_Time_ms,Total_Simulation_Time_ms,Interactions_Per_Second_Billion
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,1024,8,0.385,27.545,0.381
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,1024,16,0.382,26.422,0.397
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,1024,32,0.377,27.140,0.386
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,1024,64,0.378,27.259,0.385
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,1024,128,0.373,26.537,0.395
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,1024,256,0.383,26.273,0.399
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,2048,8,0.291,3.155,13.294
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,2048,16,0.492,27.857,1.506
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,2048,32,0.485,28.139,1.491
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,2048,64,0.477,27.722,1.513
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,2048,128,0.470,27.050,1.551
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,2048,256,0.495,28.625,1.465
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,4096,8,0.712,30.706,5.464
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,4096,16,0.706,30.703,5.464
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,4096,32,0.719,31.148,5.386
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,4096,64,0.712,30.835,5.441
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,4096,128,0.710,30.197,5.556
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,4096,256,0.711,30.388,5.521
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,8192,8,1.209,36.502,18.385
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,8192,16,1.169,34.017,19.728
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,8192,32,1.156,35.010,19.168
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,8192,64,1.150,34.226,19.608
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,8192,128,1.151,35.236,19.046
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,8192,256,1.197,36.298,18.488
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,16384,8,5.190,75.397,35.603
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,16384,16,2.331,46.611,57.591
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,16384,32,2.292,46.426,57.820
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,16384,64,2.282,46.916,57.216
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,16384,128,2.339,47.300,56.752
NVIDIA A100-SXM4-80GB,81037.75 MB,48.00 KB,1024,16384,256,2.398,46.458,57.780
